Concurrency: 15 Max Time: 300s Early stop - Seen plies: 3 Min time: 10s

TestId              |         Spike1.4        |       Qapla0.3.2bb      |        Qapla0.3.2       |       Stockfish 17       | BM:
(Speelman_ATE_100)  |  00.912, D: 16, M: e7d6 |  00.090, D:  7, M: e7d6 |  00.575, D: 16, M: e7d6 |  00.037, D: 10, M: e7d6  | BM: Kd6+
(Speelman_ATE_101)  |  00.033, D:  1, M: f5e6 |  00.003, D:  1, M: f5e6 |  00.001, D:  2, M: f5e6 |  00.001, D:  1, M: f5e6  | BM: Ke6
(Speelman_ATE_102)  |  00.034, D:  4, M: c3b4 |  00.003, D:  1, M: c3b4 |  01.639, D: 18, M: c3b4 |  00.001, D:  1, M: c3b4  | BM: Kb4
(Speelman_ATE_103)  |  00.036, D:  2, M: h8d8 |       -, D:  -, M: e7e6 |  13.699, D: 25, M: h8d8 |       -, D:  -, M: h8b8  | BM: Rd8
(Speelman_ATE_104)  |  00.522, D: 14, M: b2c2 |  00.018, D:  7, M: b2c2 |  01.845, D: 19, M: b2c2 |  00.016, D: 11, M: b2c2  | BM: Kc2
(Speelman_ATE_105)  |  02.665, D: 16, M: f4f5 |  00.003, D:  6, M: f4f5 |  00.006, D:  7, M: f4f5 |  00.004, D:  9, M: f4f5  | BM: Kf5
(Speelman_ATE_106)  |  00.044, D:  8, M: b4c5 |  00.001, D:  1, M: b4c5 |  00.011, D:  7, M: b4c5 |  00.001, D:  1, M: b4c5  | BM: Kc5
(Speelman_ATE_107)  |       -, D:  -, M: d3e3 |  01.717, D: 19, M: d3f3 |       -, D:  -, M: d3e3 |       -, D:  -, M: d3g3  | BM: Rf3
(Speelman_ATE_108)  |  00.034, D:  1, M: d5e6 |  00.001, D:  1, M: d5e6 |  00.001, D:  1, M: d5e6 |  00.093, D: 15, M: d5e6  | BM: Ke6
(Speelman_ATE_109)  |  00.033, D:  5, M: d4c5 |  00.001, D:  1, M: d4c5 |  00.001, D:  5, M: d4c5 |  00.004, D:  7, M: d4c5  | BM: Kc5
(Speelman_ATE_110)  |  00.036, D:  6, M: h6g5 |  00.001, D:  3, M: h6g5 |  00.005, D:  8, M: h6g5 |  00.002, D:  7, M: h6g5  | BM: Kg5
(Speelman_ATE_111)  |  10.325, D: 23, M: e4d5 |  00.002, D:  3, M: e4d5 |  03.775, D: 24, M: e4d5 |  00.177, D: 16, M: e4d5  | BM: Kd5
(Speelman_ATE_112)  |       -, D:  -, M: e4e3 |  00.001, D:  1, M: e4e2 |  00.037, D: 11, M: e4e2 |       -, D:  -, M: e4e3  | BM: Re2
(Speelman_ATE_113)  |  43.501, D: 27, M: e3e2 |  04.628, D: 23, M: e3e2 | 178.913, D: 28, M: e3e2 |  00.098, D: 15, M: e3e2  | BM: Ke2
(Speelman_ATE_114)  |  00.209, D: 14, M: g3g4 |  00.056, D: 11, M: g3g4 |  00.049, D: 12, M: g3g4 |  00.002, D:  6, M: g3g4  | BM: g4
(Speelman_ATE_115)  |  00.046, D: 10, M: h8f7 |  00.001, D:  1, M: h8f7 |  00.006, D:  8, M: h8f7 |  00.002, D:  6, M: h8f7  | BM: Nf7
(Speelman_ATE_116)  |  00.032, D:  1, M: e5e6 |  00.002, D:  3, M: e5e6 |  00.001, D:  5, M: e5e6 |  00.597, D: 17, M: e5e6  | BM: e6
(Speelman_ATE_117)  |  00.037, D:  9, M: b5b6 |  00.008, D:  8, M: b5b6 |  01.577, D: 25, M: b5b6 |  00.097, D: 14, M: b5b6  | BM: Kb6
(Speelman_ATE_118)  |  05.120, D: 17, M: h3f4 |  01.216, D: 18, M: h3f4 |  22.843, D: 23, M: h3f4 |  00.004, D:  9, M: h3f4  | BM: Nf4
(Speelman_ATE_119)  |  01.536, D: 17, M: b6b7 |  00.001, D:  1, M: b6b7 |  17.133, D: 25, M: b6b7 |  00.035, D: 12, M: b6b7  | BM: b7
(Speelman_ATE_120)  |  00.159, D: 14, M: c7c8n|  00.001, D:  1, M: c7c8n|  00.118, D: 14, M: c7c8n|  00.008, D: 11, M: c7c8n | BM: c8=N
(Speelman_ATE_121)  |  00.457, D: 18, M: f1e1 |  00.001, D:  2, M: f1e1 |  00.001, D:  2, M: f1e1 |  00.034, D: 15, M: f1e1  | BM: Rf4 Re1+
(Speelman_ATE_122)  |  00.112, D:  9, M: b8b1 |  00.018, D:  9, M: b8b1 |  00.027, D:  9, M: b8b1 |  01.006, D: 20, M: b8b1  | BM: Rb1+
(Speelman_ATE_123)  |       -, D:  -, M: d4e4 |       -, D:  -, M: g7g5 |       -, D:  -, M: g7g5 |  29.534, D: 58, M: h6h5  | BM: h5
(Speelman_ATE_124)  |       -, D:  -, M: f6a6 |  02.570, D: 22, M: g8h8 |       -, D:  -, M: f6c6 |  00.563, D: 19, M: g8h8  | BM: Kh8
(Speelman_ATE_125)  |       -, D:  -, M: g4h5 |       -, D:  -, M: b6b7 |  00.243, D: 13, M: c6c7 |  04.345, D: 26, M: c6c7  | BM: c7
(Horowitz_126)      |  00.031, D:  3, M: d5d6 |  00.009, D: 10, M: d5d6 |  00.001, D:  2, M: d5d6 |  00.003, D:  9, M: d5d6  | BM: d6+
(Horowitz_127)      |  00.028, D:  5, M: c6d5 |  29.315, D: 20, M: c6d5 |  00.215, D: 17, M: c6d5 |       -, D:  -, M: c6d6  | BM: Kd5
(Horowitz_128)      |  00.930, D: 21, M: e6e5 |  29.563, D: 28, M: e6e5 |  04.817, D: 26, M: e6e5 |  00.016, D: 11, M: e6e5  | BM: Ke5
(Horowitz_129)      |  00.390, D: 20, M: c3d4 |  13.647, D: 31, M: c3d4 |       -, D:  -, M: c3d2 |  00.073, D: 18, M: c3d4  | BM: Kd4
(Horowitz_130)      |  00.037, D: 10, M: h8f7 |  00.001, D:  1, M: h8f7 |  00.001, D:  1, M: h8f7 |  00.002, D:  6, M: h8f7  | BM: Nf7
(Horowitz_131)      |  00.031, D:  7, M: d1c2 |  00.001, D:  1, M: d1c2 |  00.001, D:  1, M: d1c2 |  00.001, D:  7, M: d1c2  | BM: Kc2
(Horowitz_132)      |  00.028, D:  1, M: a4b5 |  00.001, D:  1, M: a4b4 |  00.003, D:  1, M: a4b5 |  00.001, D:  1, M: a4b5  | BM: Kb4 Kb5 Kb3
(Horowitz_133)      |  00.031, D:  2, M: d4d5 |  00.001, D:  1, M: d4d5 |  00.001, D:  1, M: d4d5 |  00.045, D: 14, M: d4d5  | BM: Kd5
(Horowitz_134)      |  04.949, D: 20, M: d2b3 |  00.001, D:  1, M: d2b3 |  01.346, D: 20, M: d2b3 |  00.010, D:  8, M: d2b3  | BM: Nb3
(Horowitz_135)      |  02.153, D: 22, M: d5d4 |  00.013, D:  5, M: d5d4 |  00.580, D: 19, M: d5d4 |  00.030, D: 10, M: d5d4  | BM: Kd4
(Horowitz_136)      |  00.087, D: 11, M: g3e1 |  00.046, D: 10, M: g3e1 |  00.001, D:  4, M: g3e1 |  00.002, D:  6, M: g3e1  | BM: Be1
(Horowitz_137)      |  00.034, D:  8, M: f8e7 |  00.003, D:  1, M: f8e7 |  00.027, D: 12, M: f8e7 |  00.013, D:  9, M: f8e7  | BM: Ke7
(Horowitz_138)      |  00.031, D:  9, M: d8h4 |  00.027, D:  7, M: d8h4 |       -, D:  -, M: d8g5 |  00.067, D: 16, M: d8h4  | BM: Bh4
(Horowitz_139)      |       -, D:  -, M: c4c3 |       -, D:  -, M: a7a5 |  00.218, D: 15, M: d5d4 |       -, D:  -, M: a7a5  | BM: d4
(Horowitz_140)      |  00.046, D: 12, M: b4b5 |  00.062, D: 11, M: a2a3 |  00.060, D: 15, M: b4b5 |  00.008, D:  9, M: a2a3  | BM: Kc6 a3 b5
(Horowitz_141)      |  00.026, D:  1, M: d4e5 |  00.001, D:  3, M: d4e5 |  12.257, D: 31, M: d4e5 |  00.001, D:  6, M: d4e5  | BM: Ke5
(Horowitz_142)      |  04.888, D: 24, M: f8e7 |  17.896, D: 29, M: f8e7 |  04.274, D: 24, M: f8e7 |  02.345, D: 45, M: f8e7  | BM: Ke7
(Horowitz_143)      |  00.048, D:  7, M: h7h6 |  00.001, D:  1, M: h7h6 |  00.004, D:  6, M: h7h6 |  00.003, D:  7, M: h7h6  | BM: Qh6
(Horowitz_144)      |       -, D:  -, M: h3h4 |       -, D:  -, M: d6e6 |       -, D:  -, M: g2g3 |       -, D:  -, M: g2g4  | BM: b4
(Horowitz_145)      |       -, D:  -, M: a6a3 |       -, D:  -, M: a6a3 |  00.001, D:  4, M: a6a2 |       -, D:  -, M: a6a3  | BM: Ra2
(Horowitz_146)      |  00.030, D:  8, M: f5f6 |  00.003, D:  1, M: f5f6 |  00.005, D:  7, M: f5f6 |  00.001, D:  1, M: f5f6  | BM: Kf6
(Averbakh_147)      |       -, D:  -, M: f7f6 |  00.001, D:  1, M: d2e4 |  00.017, D: 10, M: d2e4 |  00.001, D:  1, M: d2e4  | BM: Ne4
(Averbakh_148)      |  00.033, D:  7, M: a4b2 |  00.001, D:  1, M: a4b2 |  00.002, D:  7, M: a4b2 |  00.001, D:  5, M: a4b2  | BM: Nb2
(Averbakh_149)      |  00.027, D:  2, M: a8d5 |  00.001, D:  1, M: a8d5 |  00.001, D:  3, M: a8d5 |  00.001, D:  5, M: a8d5  | BM: Bd5
